Klasse,minimumSteigungWert1,maximumSteigungWert1,minimumSenkungWert1,maximumSenkungWert1,steigungA1,steigungB1,steigungC1,senkungA1,senkungB1,senkungC1,mittelA1,mittelB1,mittelC1,gesamtA1,gesamtB1,gesamtC1,fftAnfangMedian1,fftAnfangMittel1,fftAnfangPSD1,fftMitteMedian1,fftMitteMittel1,fftMittePSD1,fftEndeMedian1,fftEndeMittel1,fftEndePSD1,fftGesamtMedian1,fftGesamtMittel1,fftGesamtPSD1,mittelwert1,signalstärke1,varianz1,standardabweichung1,energie1,kurtosis1,schiefe1,zeroCrossings1,laenge1,maximalwert1,minimalwert1,minimumSteigungWert2,maximumSteigungWert2,minimumSenkungWert2,maximumSenkungWert2,steigungA2,steigungB2,steigungC2,senkungA2,senkungB2,senkungC2,mittelA2,mittelB2,mittelC2,gesamtA2,gesamtB2,gesamtC2,fftAnfangMedian2,fftAnfangMittel2,fftAnfangPSD2,fftMitteMedian2,fftMitteMittel2,fftMittePSD2,fftEndeMedian2,fftEndeMittel2,fftEndePSD2,fftGesamtMedian2,fftGesamtMittel2,fftGesamtPSD2,mittelwert2,signalstärke2,varianz2,standardabweichung2,energie2,kurtosis2,schiefe2,zeroCrossings2,laenge2,maximalwert2,minimalwert2,minimumSteigungWert3,maximumSteigungWert3,minimumSenkungWert3,maximumSenkungWert3,steigungA3,steigungB3,steigungC3,senkungA3,senkungB3,senkungC3,mittelA3,mittelB3,mittelC3,gesamtA3,gesamtB3,gesamtC3,fftAnfangMedian3,fftAnfangMittel3,fftAnfangPSD3,fftMitteMedian3,fftMitteMittel3,fftMittePSD3,fftEndeMedian3,fftEndeMittel3,fftEndePSD3,fftGesamtMedian3,fftGesamtMittel3,fftGesamtPSD3,mittelwert3,signalstärke3,varianz3,standardabweichung3,energie3,kurtosis3,schiefe3,zeroCrossings3,laenge3,maximalwert3,minimalwert3
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,161.8787905151415,428.2808647119605,98.04774646366258,459.62756891648644,221.86617506578068,-4.562314915374188,-4.562314915374188,0.0,0.0,0.0,221.86617506578068,-4.562314915374188,0.05133837232255778,221.86617506578068,-4.562314915374188,-4.562314915374188,15.0,18.902805330836735,2.3458519047865936E8,0.0,NaN,0.0,0.0,0.0,0.0,14.0,18.21763794514021,6.592129619275674E8,67.27859642149535,18537.726419497052,157076.1183912176,396.328296228288,4324486.110622324,-0.44202464719422485,0.33832151914591174,11.0,107.0,977.1698,-761.55396
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18.404467899822276,244.76177187581555,79.88673021733491,312.91270474861534,118.3759635710129,-4.333001979212497,0.08274504708040453,118.3759635710129,-4.333001979212497,0.08274504708040453,114.26245292229589,6.244180463649144,-0.3334448665730765,0.0,0.0,0.0,23.0,35.044913589274465,5.282606977146707E8,0.0,0.0,0.0,3.0,4.459655656228593,2.9471798972479068E7,0.0,0.0,0.0,2.3597367691370597,18607.799329861253,47166.783185449574,217.17914997865142,2309303.925661976,0.4796135162079387,0.5735292957376575,11.0,197.0,751.6846,-427.90833
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,70.94015354886237,339.3581932220579,118.03939253631575,376.7745182227606,68.2860421991877,44.693240696746784,-2.24464520935965,68.2860421991877,44.693240696746784,-2.24464520935965,68.2860421991877,44.693240696746784,-2.24464520935965,68.2860421991877,44.693240696746784,-2.24464520935965,1.0,1.6441504616626808,2.042894680534784E7,0.0,0.0,968291.2668811264,1.0,0.8444892798271693,3.1995628808041163E7,0.0,0.0,0.0,-101.26693705,4313.162909930126,226053.9611704293,475.45132366040303,1128746.8262198446,-1.3508311051073456,-0.500044631477211,1.0,20.0,474.0326,-905.06287
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46.53991524547898,241.97176938091022,105.97182812274202,248.8062927249313,97.01809889542551,56.05044988739735,-4.466357986306356,97.01809889542551,56.05044988739735,-4.466357986306356,97.01809889542551,56.05044988739735,-4.466357986306356,97.01809889542551,56.05044988739735,-4.466357986306356,2.0,1.7609969581542855,131660.33177517424,0.0,0.3344320711795827,4908167.1643363,1.0,0.8432349409236648,1.7577398189080667E7,0.0,0.0,0.0,329.45617366666664,2807.21536647735,63033.481705201135,251.06469625417495,624714.7788980668,-1.2701751748384376,-0.41414579983104444,1.0,15.0,646.7468,-103.22571
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,87.74267130408644,326.7455496845057,95.25338627106595,375.48090061666517,306.71712488666844,-26.947246151801664,0.5085034304655807,97.96245691066633,-1.2078585217145914,0.01202680967098052,306.71712488666844,-26.947246151801664,0.5085034304655807,97.96245691066633,-1.2078585217145914,0.01202680967098052,30.0,37.4092899577395,7.445042598609478E8,0.0,0.0,1309295.2240464722,2.0,2.4872929857659174,2.2896509212055E7,0.0,0.0,0.0,-5.374086914267534,15954.916084120325,63594.370245910104,252.17924229783486,2510856.0149871716,1.590928472881851,0.6462234216611868,16.0,157.0,879.9866,-558.728
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,73.80269638032074,175.57634964898088,152.14693206366283,201.74882514699536,89.91499863433546,-0.04463578283937375,3.0227945781466023E-5,89.91499863433546,-0.04463578283937375,3.0227945781466023E-5,89.91499863433546,-0.04463578283937375,3.0227945781466023E-5,89.91499863433546,-0.04463578283937375,3.0227945781466023E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54.600668040789,276.0326518194971,147.47480717284787,310.7105175654295,139.8654944965997,29.575241797151705,-1.4690922060698277,139.8654944965997,29.575241797151705,-1.4690922060698277,139.8654944965997,29.575241797151705,-1.4690922060698277,139.8654944965997,29.575241797151705,-1.4690922060698277,1.0,1.820516431023229,7.024728829665546E7,0.0,0.35935357617208397,3891762.4810631117,0.0,0.0,0.0,0.0,0.0,0.0,-429.8743220434782,5124.237627464866,41292.103910936494,203.20458634326266,1275618.9671924168,-0.024605536233009317,0.6207238182884598,1.0,23.0,76.94092,-738.089
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44.28827493176686,234.4867784306406,117.68916534401524,275.4735331421734,120.48859202369454,53.72071999346434,-4.427090660653313,120.48859202369454,53.72071999346434,-4.427090660653313,120.48859202369454,53.72071999346434,-4.427090660653313,120.48859202369454,53.72071999346434,-4.427090660653313,0.0,0.7479826850729082,681745.965054518,0.0,0.3346970277182204,6275232.81400704,1.0,0.8421892698648267,1.735821276734995E7,0.0,0.0,0.0,370.7531761333333,2954.5074603109624,50128.49664791146,223.8939406234824,687021.0824864749,-1.2569662661667274,-0.32936488270060565,1.0,15.0,656.01196,-46.5271
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,78.8586337421169,329.4257636505427,153.50337881385983,350.4995205609605,335.291411325117,-80.51649801573717,5.6787409804973095,0.0,0.0,0.0,335.291411325117,-80.51649801573717,5.6787409804973095,335.291411325117,-80.51649801573717,5.6787409804973095,10.0,11.946541624664755,7.570013851109025E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.57183435614033,8010.303132372905,110636.75643035739,332.6210402700908,1657615.87198487,-0.019926808049909095,-0.17444816378433023,3.0,57.0,648.25745,-887.13684
Finger1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,93.18098829068069,214.08507711184515,79.4410026609076,281.8624099426521,124.29838592060855,-1.7162645065183568,0.012756352924239045,124.29838592060855,-1.7162645065183568,0.012756352924239045,124.29838592060855,-1.7162645065183568,0.012756352924239045,124.29838592060855,-1.7162645065183568,0.012756352924239045,2.0,1.5328316406600673,70141.03488760331,0.0,0.3552313805691908,2922668.5693921186,0.0,0.0,0.0,0.0,0.0,0.0,-3.400003367924544,15603.014562348138,48526.90676162612,220.28823564054917,1951318.5276076805,0.11721872526148536,0.44403483950406686,8.0,159.0,681.08826,-515.7257
