Klasse,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert,minimumSteigungWert,maximumSteigungWert,minimumSenkungWert,maximumSenkungWert,steigungA,steigungB,steigungC,senkungA,senkungB,senkungC,mittelA,mittelB,mittelC,gesamtA,gesamtB,gesamtC,fftAnfangMedian,fftAnfangMittel,fftAnfangPSD,fftMitteMedian,fftMitteMittel,fftMittePSD,fftEndeMedian,fftEndeMittel,fftEndePSD,fftGesamtMedian,fftGesamtMittel,fftGesamtPSD,mittelwert,signalstärke,varianz,standardabweichung,energie,kurtosis,schiefe,zeroCrossings,laenge,maximalwert,minimalwert
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,57.24700153026587,475.3512287865614,53.38750834499873,548.5333468478298,576.4687773899877,21.383275442152808,-5.992155237987163,576.4687773899877,21.383275442152808,-5.992155237987163,576.4687773899877,21.383275442152808,-5.992155237987163,576.4687773899877,21.383275442152808,-5.992155237987163,11.0,17.865851223621824,1.1369534780831934E10,1.0,0.834581206575954,8.963030751636711E7,1.0,0.8315368266537361,6.548525838486356E7,0.0,0.0,0.0,-49.47413704315788,39594.58961143582,868883.0049235993,932.1389407827565,2.0490113553813115E7,-1.0232299599323866,0.3680790540211763,4.0,95.0,1794.3146,-1457.7484
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,264.87209555016614,649.7724522420333,44.8443104017862,696.3020295824465,735.5554766625355,15.687619158672533,-16.333574353688164,735.5554766625355,15.687619158672533,-16.333574353688164,735.5554766625355,15.687619158672533,-16.333574353688164,735.5554766625355,15.687619158672533,-16.333574353688164,0.0,0.0,0.0,0.0,0.35390694856206434,2.1773198713812158E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41.26578614339968,195.20680370896633,40.5288549009747,218.318878605484,59.39123424824072,55.00586260491656,-4.936590545201767,196.1632259735756,-36.55336534739365,1.0869286746185054,0.0,0.0,0.0,59.39123424824072,55.00586260491656,-4.936590545201767,1.0,0.8536161416099781,33188.79932032776,0.0,0.0,361594.77428280003,1.0,0.8420228681764708,1.1981037098894192E7,0.0,0.0,0.0,241.58301815384613,1853.75947462338,41193.11397112185,202.960868078361,320544.77218456264,-1.8162403437434231,0.09253989639630748,0.0,13.0,523.78235,19.940186
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,173.81643023791273,471.47193704553086,69.01675368868761,529.8044832413015,554.2900672553808,11.931487905374524,-8.599526233260804,554.2900672553808,11.931487905374524,-8.599526233260804,554.2900672553808,11.931487905374524,-8.599526233260804,554.2900672553808,11.931487905374524,-8.599526233260804,13.0,17.91229898082075,1.2941164552802134E9,0.0,0.33397200740716454,2.506372100374506E7,0.0,0.0,0.0,0.0,0.0,0.0,28.41775450078125,31178.411896559155,319930.05109506607,565.6235948889208,1.0303001743134947E7,-0.2768390266252303,-0.2942531755958512,11.0,128.0,1172.7448,-1379.4983
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,275.68697917998037,634.0409962780111,85.44838079406425,729.5040950626128,350.5659406973882,-3.2337939141031313,0.022446463457367782,350.5659406973882,-3.2337939141031313,0.022446463457367782,350.5659406973882,-3.2337939141031313,0.022446463457367782,350.5659406973882,-3.2337939141031313,0.022446463457367782,25.0,34.80236062932641,3.341403058072131E10,0.0,0.8013690055846499,1.0273245334197584E8,0.0,0.0,0.0,0.0,0.0,0.0,-62.59002708510637,58383.25926421143,508914.1875356164,713.3822170026502,2.4218015266213436E7,-0.6247819492068576,-0.21351713379017445,7.0,188.0,1492.5934,-1681.3202
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,70.87236611915088,284.7781369951829,88.11239359933798,299.23327334225417,215.32439270924488,-1.88565115166017,-0.32308136048924396,0.0,0.0,0.0,0.0,0.0,0.0,215.32439270924488,-1.88565115166017,-0.32308136048924396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,194.81822687551423,655.9175776034288,146.36646588129625,680.2259971533126,180.71414239202068,-1.2286040017912683,0.02563393170578787,180.71414239202068,-1.2286040017912683,0.02563393170578787,180.71414239202068,-1.2286040017912683,0.02563393170578787,180.71414239202068,-1.2286040017912683,0.02563393170578787,24.0,33.9516026983697,1.2282835404471691E10,0.0,0.0,4864253.62832809,0.0,0.0,0.0,0.0,0.0,0.0,54.14779713013695,39699.002641340696,432701.219267458,657.8002882847179,1.5862117354749907E7,-0.29839900330976254,0.0497681953821042,10.0,146.0,1575.9796,-1479.7028
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,173.97354787500262,450.4053039975892,140.04733593230415,477.19241080360604,242.77572347610158,0.22754382619156388,-0.0023076820581986457,242.77572347610158,0.22754382619156388,-0.0023076820581986457,242.77572347610158,0.22754382619156388,-0.0023076820581986457,242.77572347610158,0.22754382619156388,-0.0023076820581986457,23.0,33.56277017512897,7.320138086456312E9,0.0,0.0,2677160.2572089997,0.0,0.0,0.0,0.0,0.0,0.0,-40.1694843334928,48713.809781869095,309620.547113001,556.435573191543,1.626467218791185E7,0.23597033546916313,-0.8107224126528506,15.0,209.0,792.4713,-1728.1494
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113.90206663560355,530.1649712717874,244.41707382391505,553.7920006147547,303.5146635036799,-0.3092341431839145,0.002202023927631025,303.5146635036799,-0.3092341431839145,0.002202023927631025,303.5146635036799,-0.3092341431839145,0.002202023927631025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3072035.1103728404,0.0,0.0,0.0,0.0,0.0,0.0,-42.42303449658124,34573.3206402818,519797.04409241857,720.9695167567202,1.5114060996443382E7,0.2985346965448539,-0.7014939611594366,10.0,117.0,1275.8698,-2182.9468
Finger2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,152.92971180613296,585.7960421112609,87.17066726790519,666.3851254677948,195.00528187146847,3.1609871265762877,-0.013622933435999074,195.00528187146847,3.1609871265762877,-0.013622933435999074,195.00528187146847,3.1609871265762877,-0.013622933435999074,0.0,0.0,0.0,20.0,32.90533084939232,1.7437926609248947E10,0.0,0.0,5480082.6254552165,1.0,0.8413762474629068,1.0636326857029323E8,0.0,0.0,0.0,32.88520592245993,61982.10469727673,624472.5340041709,790.2357458405504,2.9186706293990888E7,-0.1487005717291301,-0.4182183928087665,9.0,187.0,1501.8585,-2088.1804
